card_id,report_date,report_file,strategy,family,direction,entry_mode,entry_mode_text,anchor_broker,entry,stop,tp1,tp2,tp3,card_R_points,be_rule,runner_rule,management_text,suppressed,source,slice_file,last_bar_broker
2026-05-11_Trade_1,2026-05-11,Gold_Report_11_May_2026.docx,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,MARKET,market or just-fillable order at the 00:00 UK daily reset (Sunday-evening Asia open),02:00,4715.0,4625.0,4805.0,4895.0,,90.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"3 equal units. Unit 1 exits at TP1. Unit 2 exits at TP2. On Unit 2 fill, Unit 3 stop moves to entry + 0.2R = USD 4,733/oz (1,800 ticks above entry).",False,baseline,,
2026-05-11_Trade_2,2026-05-11,Gold_Report_11_May_2026.docx,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,LIMIT,"buy limit on pullback to daily P + 10% of (daily R1 − daily P), i.e. 4,679 + 0.10 × (4,728 − 4,679) = 4,684. Order rests as a limit; valid through Tuesday 12 May 00:00 UK.",02:00,4684.0,4646.0,4728.0,4749.0,4769.0,38.0,BE_0.2R_ON_TP2,TRACE,"3 equal units. Unit 1 → R1. Unit 2 → R1.5. Unit 3 runner → R2. On Unit 2 fill, Unit 3 SL moves to entry + 0.2R = USD 4,691.6 (∼760 ticks above entry).",False,baseline,,
2026-05-11_Trade_3A,2026-05-11,Gold_Report_11_May_2026.docx,Trade 3A — Momentum-Pullback,Trade 3A,LONG,LIMIT,buy limit at 38.2% retracement. Order valid through Tuesday 12 May 00:00 UK.,02:00,4651.0,4569.0,4751.0,4822.0,4912.0,82.0,NONE,TRACE,3 equal units. Unit 1 exits at TP1. Unit 2 exits at TP2. Unit 3 runner exits at TP3 with structural override on 100%-extension break.,False,baseline,,
2026-05-12_Trade_1,2026-05-12,Gold_Report_Daily_12May2026.docx,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,MARKET,"Market at 00:00 UK · 4699.00 USD/oz (anchored to 11-May settle USD 4,699.07; subject to actual 00:00 print)",02:00,4699.0,4632.4,4765.6,4832.2,,66.6,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"3 equal units. Unit 1 exits at TP1. Unit 2 exits at TP2. On Unit 2 fill, Unit 3 SL moves to entry + 0.2R = USD 4,712.32.",False,baseline,,
2026-05-12_Trade_2,2026-05-12,Gold_Report_Daily_12May2026.docx,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,LIMIT,Buy limit at 4704.45 USD/oz · Daily S1.5 (mid-point of daily P and daily S1) · Valid for the 12-May session only,02:00,4704.45,4647.33,4761.57,4792.43,4828.27,57.12,BE_0.2R_ON_TP2,TRACE,"3 equal units. Unit 1 exits at TP1 (daily R1). Unit 2 exits at TP2 (daily R2). On Unit 2 fill, Unit 3 SL moves to entry + 0.2R = USD 4,715.89.",False,baseline,,
2026-05-12_Trade_3A,2026-05-12,Gold_Report_Daily_12May2026.docx,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,LIMIT,"Buy limit at 4673.61 USD/oz · 38.2% retracement of 4-May → 8-May swing (USD 4,548.80 → 4,750.75)",02:00,4673.61,4649.77,4750.75,4827.89,4875.56,23.84,BE_0.2R_ON_TP2,TRACE,"3 equal units. Unit 1 exits at TP1. Unit 2 exits at TP2. On Unit 2 fill, Unit 3 SL moves to entry + 0.2R = USD 4,678.12. Structural runner override engages on USD 4,952.70 break.",False,baseline,,
2026-05-13_Trade_1,2026-05-13,Gold_Daily_Report_13May2026.docx,Trade 1 - Daily Directional (reduced conviction),Trade 1,LONG,MARKET,"$4,695 daily open anchor (00:00 UK), market-on-open",02:00,4695.0,4640.0,4750.0,4805.0,4890.0,55.0,BE_0.2R_ON_TP2,TRACE,"Unit 1 takes TP1; Unit 2 takes TP2 and triggers runner stop to BE + 0.2R = $4,706; Unit 3 runs to TP3",False,baseline,,
2026-05-13_Trade_2,2026-05-13,Gold_Daily_Report_13May2026.docx,RANGE FADE: short the upper rail / long the lower rail,Trade 2,SHORT,CONDITIONAL,Entry on rejection signal,02:00,4800.0,4830.0,4750.0,4705.0,4680.0,30.0,NONE,TRACE,,False,baseline,,
2026-05-13_Trade_3B,2026-05-13,Gold_Daily_Report_13May2026.docx,"Trade 3 - Complex (variant 3B - Mean-Reversion, range regime)",Trade 3B,LONG,LIMIT,"$4,665-$4,690 (50%-38.2% retrace)",02:00,4690.0,4605.0,4722.0,4773.0,4800.0,,BE_0.2R_ON_TP2,TRACE,"Standard universal rule: equal thirds, BE + 0.2R on Unit 2 fill",False,baseline,,
2026-05-14_Trade_1,2026-05-14,Gold_Report_14_May_2026.docx,"Trade 1 — Daily Directional (00:00 UK anchor, 14 May 2026)",Trade 1,SHORT,MARKET,"USD 4,688 /oz (intraday spot)",02:00,4688.0,4720.0,4656.0,4624.0,,32.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"3 equal tranches (Unit 1 / Unit 2 / Runner) | Runner stop (post-TP2 fill): USD 4,688 + 0.2R = $4,694 /oz (BE + 600 ticks above entry)",False,baseline,,
2026-05-14_Trade_2,2026-05-14,Gold_Report_14_May_2026.docx,Trade 2 — Regime-aware Pivot (indicative),Trade 2,SHORT,LIMIT,"Entry (limit) — USD 4,716 /oz (daily R1 confluence with weekly R1 area)",02:00,4716.0,4752.0,4696.0,4659.0,,36.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"3 equal tranches | Runner stop (post-TP2): $4,716 + 0.2R = $4,723 /oz (BE + 700 ticks)",False,baseline,,
2026-05-14_Trade_3C,2026-05-14,Gold_Report_14_May_2026.docx,Trade 3 — Complex (3C transition breakout),Trade 3C,SHORT,CONDITIONAL,"Bracket low (short trigger): USD 4,634 /oz daily close — weekly S2 confluence",02:00,4634.0,4696.0,4548.0,,,62.0,NONE,TRACE,3 equal tranches per side; only one bracket arms at a time,False,baseline,,
2026-05-15_Trade_1,2026-05-15,Gold_Daily_Report_15May2026.docx,Trade 1 — Daily Directional,Trade 1,SHORT,MARKET,Market at 00:00 UK Fri 15 May 2026,02:00,4652.0,4790.0,4514.0,4376.0,,138.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"3 equal units. Unit 1 exits at TP1 (4,514). Unit 2 exits at TP2 (4,376). On Unit 2 fill, Unit 3 SL trails to entry + 0.2R = USD 4,679.60 (≈ break-even + 2,760 ticks above current run side; effectively locks in profit).",False,baseline,,
2026-05-15_Trade_2,2026-05-15,Gold_Daily_Report_15May2026.docx,Trade 2 — Pivot (TREND_DOWN: short entry on retest of broken pivot),Trade 2,SHORT,LIMIT,"Sell limit at USD 4,688 / oz (= daily R1 4,688.67). Order live for the 15-May session only; cancelled on close.",02:00,4688.0,4725.0,4651.0,4614.0,4665.0,37.0,BE_0.2R_ON_TP2,TRACE,"3 equal units. Unit 1 exits 4,651. Unit 2 exits 4,614. On Unit 2 fill, Unit 3 SL trails to entry + 0.2R = USD 4,695.40 (locks in ≈ +0.2R minimum on the runner).",False,baseline,,
2026-05-15_Trade_3C,2026-05-15,Gold_Daily_Report_15May2026.docx,Trade 3C — Momentum-Breakout (regime: TRANSITION; VOLator slope positive disqualifies pure RANGE / 3B mean-reversion),Trade 3C,SHORT,CONDITIONAL,"Stop entry SHORT at USD 4,570 / oz (= 25-session swing low 4,585 minus 0.25 × ATR ≈ 15). Confirmation: must be a daily close below 4,570, not an intraday print. Cancel-otherwise rule active.",02:00,4570.0,4648.0,4520.0,4455.0,4395.0,78.0,BE_0.2R_ON_TP2,TRACE,"3 equal units. Unit 1 exits at TP1 (4,520). Unit 2 exits at TP2 (4,455). On Unit 2 fill, Unit 3 SL trails to entry + 0.2R = USD 4,585.60 (locks in profit at the broken boundary).",False,baseline,,
2026-05-18_Trade_1,2026-05-18,Gold_Daily_Report_18-May-2026.docx,Trade 1 — Daily Directional (score-driven),Trade 1,SHORT,MARKET,"Market at 18-May 00:00 UK at the open (treated as 15-May close basis = 4,562 USD/oz)",02:00,4562.0,4648.0,4476.0,4390.0,,86.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"3 equal units. Unit 1 exits at TP1 (+1R). Unit 2 exits at TP2 (+2R). On Unit 2 fill, Unit 3 stop moves to entry − 0.2R = 4,545 USD/oz (locks +0.2R).",False,baseline,,
2026-05-18_Trade_2,2026-05-18,Gold_Daily_Report_18-May-2026.docx,"Trade 2 — Pivot (regime-aware) — TRANSITION regime, breakout-side only",Trade 2,SHORT,CONDITIONAL,"Sell stop at 4,476 USD/oz — on confirmed break of weekly S1. Entry triggers only on a daily-close-below 4,476 or an intraday print of 4,476 − 0.10 × ATR (≈ 4,470) — whichever the engine confirms first.",02:00,4476.0,4576.0,4376.0,4276.0,4148.0,100.0,BE_0.2R_ON_TP2,TRACE,"3 equal units. On Unit 2 fill, Unit 3 stop moves to entry − 0.2R = 4,456 USD/oz.",False,baseline,,
