card_id,report_date,report_file,strategy,family,direction,entry_mode,entry_mode_text,anchor_broker,entry,stop,tp1,tp2,tp3,card_R_points,be_rule,runner_rule,management_text,suppressed,source,slice_file,last_bar_broker
2026-05-11_Trade_1,2026-05-11,SP500_Report_11May2026__2_.md,Trade 1 - Daily Directional (LONG),Trade 1,LONG,MARKET,"Market at the daily-open anchor 09:00 broker (07:00 UK) on Mon 11 May 2026; fill level is the D-1 reference close 7,400.60.",09:00,7400.6,7354.21,7446.99,7493.38,7611.68,46.39,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"Three equal units. Unit 1 exits at TP1 7,446.99 (+1R). Unit 2 exits at TP2 7,493.38 (+2R); on that fill Unit 3 stop moves to entry + 0.2R = 7,409.88. Unit 3 (runner) is time-stopped at the 11 May session close or price-stopped at 3 x ATR14 from entry (7,611.68), whichever triggers first. R = 46.39 pts = 0.66 x ATR14 - no 'wide stop' flag; 2R = 92.78 pts < 3 x ATR14 = 211.08, so no 'TP2 ambitious' flag. Thesis invalidation (separate from the stop): a daily close below daily S3 7,343.40, the next structural level beyond the stop (10.81 pts beyond it, > 0.15 x ATR14 = 10.55); deeper regime invalidation is a daily close below the prior-week pivot 7,328.53. Stop ahead of invalidation. Holding period collides with the April CPI release on Tue 12 May (highest-impact scheduled event on the forward calendar).",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-10.csv,2026-05-08 23:45:00
2026-05-11_Trade_2,2026-05-11,SP500_Report_11May2026__2_.md,"Trade 2 - Pivot, TREND branch (long above daily P)",Trade 2,LONG,LIMIT,"Buy limit at 7,395.45 (daily P + 10% of the P-to-R1 distance), resting from the 09:00 broker anchor and valid for the 11 May session to the 23:00 broker cut-off.",09:00,7395.45,7361.51,7414.8,7421.9,7429.0,33.94,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at daily R1 7,414.80. Unit 2 exits at daily R1.5 7,421.90; on that fill Unit 3 stop moves to entry + 0.2R = 7,402.24. Unit 3 (runner) traces to daily R2 7,429.00 or the stop. R = 33.94 pts = 0.48 x ATR14 - no 'wide stop' flag; 2R = 67.88 pts < 3 x ATR14 = 211.08, so no 'TP2 ambitious' flag. Thesis invalidation (separate from the stop): a daily close back through the daily pivot P 7,393.30 - 31.79 pts inside the stop, far more than 0.15 x ATR14 = 10.55, and a close-through condition rather than an intraday price. Holding period collides with the April CPI release on Tue 12 May.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-10.csv,2026-05-08 23:45:00
2026-05-11_Trade_3A,2026-05-11,SP500_Report_11May2026__2_.md,"Trade 3A - Momentum-Pullback (57.5% fib retracement, TREND_UP fork)",Trade 3A,LONG,LIMIT,"Buy limit at 7,275.25, the 57.5% retracement of the active 4-8 May up-swing, resting from the 09:00 broker anchor and valid for the 11 May session to the 23:00 broker cut-off.",09:00,7275.25,7159.91,7319.64,7407.5,7495.36,115.34,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at TP1 7,319.64 (the 38.2% retracement). Unit 2 exits at TP2 7,407.50 (the 0% anchor, the swing high); on that fill Unit 3 stop moves to entry + 0.2R = 7,298.32. Unit 3 (runner) targets the 138.2% extension 7,495.36; structural override - once price prints above the 100% extension 7,407.50, the Unit 3 stop moves to the halfway mark between entry and TP2 = 7,341.38, which supersedes the universal breakeven trail. WIDE STOP FLAG SET: R = 115.34 pts = 1.64 x ATR14, above 1.00 x ATR14. 2R = 230.68 pts exceeds 3 x ATR14 = 211.08, so the card also carries the 'TP2 ambitious for a daily horizon' flag - by the arithmetic of R, not by judgement, and it is a flag rather than a suppression (the actual TP2 is structural at 132.25 pts, 1.15R, from entry). Thesis invalidation (separate from the stop): a daily close below the swing-low anchor 7,177.50, which sits 17.59 pts above the stop, more than 0.15 x ATR14 = 10.55. Holding period collides with the April CPI release on Tue 12 May; a hot print could gap through the 57.5% zone without filling the limit, giving a no-fill outcome.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-10.csv,2026-05-08 23:45:00
2026-05-12_Trade_1,2026-05-12,SP500_Report_12May2026.md,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,MARKET,"Market at the 09:00 broker daily-open anchor (07:00 UK) on 12 May 2026; fill level stated as the D-1 reference close. Caveat: 09:00 broker is ~7.5 hours before the US cash open, so the fill is a proxy-open (index CFD) print, not a cash-session print.",09:00,7419.7,7378.9,7460.5,7501.4,7621.4,40.8,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"Three equal units. Unit 1 exits at TP1 7,460.5 (entry +1R). Unit 2 exits at TP2 7,501.4 (entry +2R); on the Unit 2 fill Unit 3 stop moves to entry +0.2R = 7,427.9. Unit 3 is time-stopped at the 12 May session close or price-stopped at entry +3xATR14 = 7,621.4, whichever triggers first. Stop 7,378.9 for all units until moved. Thesis invalidation (separate from the stop): a daily close below daily S3 7,351.97. Event collision: US CPI / Core CPI m/m is scheduled 15:30 broker (08:30 ET) on 12 May, i.e. after the anchor arms and inside the holding period - the position is open across the print.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-11.csv,2026-05-11 23:45:00
2026-05-12_Trade_2,2026-05-12,SP500_Report_12May2026.md,"Trade 2 - Pivot, TREND branch (TREND_UP long across the pivot)",Trade 2,LONG,LIMIT,"Buy limit 7,411.36, resting from the 09:00 broker anchor; filled on first touch. Entry sits 8.34 pts below the D-1 reference close 7,419.70, the correct side for a buy limit.",09:00,7411.36,7386.04,7443.4,7457.0,7470.6,25.32,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at TP1 = daily R1 7,443.4. Unit 2 exits at TP2 = daily R1.5 7,457.0; on the Unit 2 fill Unit 3 stop moves to entry +0.2R = 7,416.4. Unit 3 traces to TP3 = daily R2 7,470.6. Stop 7,386.0 for all units until moved. Thesis invalidation (separate from the stop): a daily close back through the daily pivot P 7,407.80. Event collision: US CPI / Core CPI m/m at 15:30 broker (08:30 ET) on 12 May falls inside the holding period; the limit may fill before the print.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-11.csv,2026-05-11 23:45:00
2026-05-12_Trade_3A,2026-05-12,SP500_Report_12May2026.md,"Trade 3A - Momentum-Pullback (57.5% fib retrace, TREND_UP fork)",Trade 3A,LONG,LIMIT,"Buy limit 7,324.54 at the 57.5% retracement of the active up-swing, resting from the 09:00 broker anchor; filled on first touch. Entry sits 95.16 pts below the D-1 reference close 7,419.70, the correct side for a buy limit.",09:00,7324.54,7226.09,7361.62,7435.0,7627.1,98.45,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at TP1 7,361.62 (38.2% retrace). Unit 2 exits at TP2 7,435.00 (0% anchor, the swing high); on the Unit 2 fill Unit 3 stop moves to entry +0.2R = 7,344.23. Unit 3 traces to TP3 7,627.10 (100% extension); structural override - if price prints above the 100% extension, Unit 3 stop moves to the midpoint of entry and TP2 = 7,379.77, which supersedes the +0.2R trail. Stop 7,226.09 for all units until moved. WIDE STOP FLAG: R = 98.45 pts = 1.46xATR14, above 1xATR - size the position accordingly. Thesis invalidation (separate from the stop): a daily close below the swing-low anchor 7,242.90. Event collision: US CPI / Core CPI m/m at 15:30 broker (08:30 ET) on 12 May sits inside the holding period; this limit is roughly 1.4xATR below the reference close and would most plausibly be reached on a hot print.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-11.csv,2026-05-11 23:45:00
2026-05-13_Trade_1,2026-05-13,SP500_Daily_Report_13May2026.md,Trade 1 - Daily Directional,Trade 1,n/a,CONDITIONAL,"SUPPRESSED - no order is placed. Had the card been eligible it would have been a market entry at the 09:00 broker daily-open anchor, filled at the D-1 reference close. No arming level is offered: the gate is a conviction test, not a price test.",09:00,,,,,,,NONE,TRACE,"SUPPRESSED - no position, no tranching, no management.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-12.csv,2026-05-12 23:45:00
2026-05-13_Trade_2,2026-05-13,SP500_Daily_Report_13May2026.md,"Trade 2 - Pivot, TRANSITION breakout-side (long)",Trade 2,LONG,LIMIT,"Buy limit at 7394.69 (daily P + 0.10 x (daily R1 - daily P)). Reference close 7409.80 (2026-05-12 cash session); signed gap entry - reference close = -15.11 pts, i.e. the order rests below the reference close, which is the side a BUY LIMIT must sit on. It is not a buy stop: 7394.69 is below the reference close on both the cash basis (7409.80) and the full broker-day basis (7402.00), so a stop label would be on the wrong side. Order is live from the 09:00 broker anchor and fills on first touch.",09:00,7394.69,7369.96,7435.1,7447.75,7460.4,24.73,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at TP1 7435.10 (daily R1). Unit 2 exits at TP2 7447.75 (daily R1.5). On the Unit 2 fill, the Unit 3 stop moves to entry + 0.2R = 7399.64. Unit 3 runs to TP3 7460.40 (daily R2) and traces the structure; no session-close time stop is imposed by the branch rule. Thesis invalidation, distinct from the stop: a daily close back through the daily pivot 7390.20 (invalidation sits 20.24 pts above the stop, far more than 0.15 x ATR14 = 10.10, and the card therefore carries the 'stop ahead of invalidation' note).",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-12.csv,2026-05-12 23:45:00
2026-05-13_Trade_3C,2026-05-13,SP500_Daily_Report_13May2026.md,Trade 3C - Momentum-Breakout (TRANSITION fork),Trade 3C,n/a,CONDITIONAL,"SUPPRESSED - no order is placed and no entry, stop, R or TP ladder is carried. Commentary only, outside the card: the variant could only arm on a daily close at or above 7451.84 (25-day boundary 7435.00 + 0.25 x ATR14 cash 67.35), or 7454.14 on the full broker-day ATR14 of 76.55. No such close exists in the slice.",09:00,,,,,,,NONE,TRACE,"SUPPRESSED - no position, no tranching, no management.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-12.csv,2026-05-12 23:45:00
2026-05-14_Trade_1,2026-05-14,SP500_Report_14May2026.md,Trade 1 - Daily Directional,Trade 1,n/a,MARKET,"Would have been a market fill at the 09:00 broker daily-open anchor, at the D-1 reference close. Not armed: the card is suppressed, so no order is placed and no level is quoted.",09:00,,,,,,,NONE,SESSION_CLOSE_TIMESTOP,"Suppressed - no position, no tranching, no management. Recorded as a row rather than omitted.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-13.csv,2026-05-13 23:45:00
2026-05-14_Trade_2,2026-05-14,SP500_Report_14May2026.md,"Trade 2 - Pivot, TREND branch (daily floor pivots)",Trade 2,LONG,LIMIT,"Buy limit at 7438.2, resting from the 09:00 broker anchor; first touch fills. Entry sits 13.3 points BELOW the 2026-05-13 reference close of 7451.5, which is the side M5 section 5.0 requires of a buy limit.",09:00,7438.2,7406.6,7484.5,7501.0,7517.5,31.6,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at TP1 7484.5 (daily R1). Unit 2 exits at TP2 7501.0 (daily R1.5); on that fill the Unit 3 stop moves to entry + 0.2R = 7444.5. Unit 3 runs to TP3 7517.5 (daily R2) on the original card stop until the 0.2R trail takes over. Thesis invalidation, distinct from the stop: a daily close back through the daily pivot P 7433.0.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-13.csv,2026-05-13 23:45:00
2026-05-14_Trade_3A,2026-05-14,SP500_Report_14May2026.md,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,LIMIT,"Buy limit at 7385.3, resting from the 09:00 broker anchor; first touch fills. Entry sits 66.2 points BELOW the 2026-05-13 reference close of 7451.5, the side M5 section 5.0 requires of a buy limit. Deep pullback entry - it may well not be reached in the session.",09:00,7385.3,7309.1,7412.4,7466.0,7606.4,76.2,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at TP1 7412.4 (38.2% retracement). Unit 2 exits at TP2 7466.0 (0%, the swing origin); on that fill the Unit 3 stop moves to entry + 0.2R = 7400.5. Unit 3 runs to TP3 7606.4 (100% extension); if price prints above 7606.4 the Unit 3 stop pulls to the halfway mark of the original 1:1 leg, 7425.7, per the structural override. Thesis invalidation, distinct from the stop: a daily close beyond the 7325.6 swing-low anchor.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-13.csv,2026-05-13 23:45:00
2026-05-15_Trade_1,2026-05-15,SP500_Daily_Report_15_May_2026.md,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,Market at the daily-open anchor 09:00 broker (07:00 UK). Fill level is the D-1 reference close 7509.10 (14 May 2026 cash session).,09:00,7509.1,7456.95,7561.25,7613.4,7710.13,52.15,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"Three equal units. Unit 1 exits at TP1 7561.25 (+1R). Unit 2 exits at TP2 7613.40 (+2R); on the Unit-2 fill the Unit-3 stop moves to entry + 0.2R = 7519.53. Unit 3 (runner) is time-stopped at the 15 May cash-session close (23:00 broker) or price-stopped at 3 x ATR14 = 7710.13, whichever comes first. One holding period only: the card is flat at the 15 May session close, so no multi-session event-collision flag applies. Thesis invalidation (separate from the stop): a daily close back through daily P 7498.30. R = 52.15 pts = 0.78 x ATR14, so no wide-stop flag.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-14.csv,2026-05-14 23:45:00
2026-05-15_Trade_2,2026-05-15,SP500_Daily_Report_15_May_2026.md,"Trade 2 - Pivot, regime-aware (TREND branch)",Trade 2,LONG,LIMIT,"Buy limit at 7501.84 = daily P 7498.30 + 10% of the P-to-R1 distance (35.40), the TREND-branch pivot-breakout entry. Resting from the daily-open anchor 09:00 broker (07:00 UK). The level sits 7.26 pts below the D-1 reference close 7509.10 (14 May 2026 cash session), i.e. at or below it, the correct side for a buy limit.",09:00,7501.84,7478.62,7533.7,7546.0,7558.3,23.22,BE_0.2R_ON_TP2,TRACE,"Three equal units, filled only if price trades down to 7501.84. Unit 1 exits at TP1 7533.70 (daily R1). Unit 2 exits at TP2 7546.00 (daily R1.5); on the Unit-2 fill the Unit-3 stop moves to entry + 0.2R = 7506.48. Unit 3 (runner) traces to TP3 7558.30 (daily R2). R = 23.22 pts = 0.35 x ATR14, below 1.00 so no wide-stop flag; 2R = 46.44 pts is far inside 3 x ATR14 = 201.03, so no 'TP2 ambitious' flag. Thesis invalidation (separate from the stop): a daily close back through daily P 7498.30, which sits 19.68 pts above the stop. One holding period only; no HIGH-impact scheduled US event appears on D in the calendar slice.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-14.csv,2026-05-14 23:45:00
2026-05-15_Trade_3A,2026-05-15,SP500_Daily_Report_15_May_2026.md,Trade 3A - Momentum-Pullback (fib retracement),Trade 3A,LONG,LIMIT,"Buy limit at 7420.78, the 57.5% retracement of the active up-swing. Resting from the daily-open anchor 09:00 broker (07:00 UK); the level sits 88.32 pts below the D-1 reference close 7509.10, the correct side for a buy limit.",09:00,7420.78,7328.55,7455.06,7522.9,7700.5,92.23,BE_0.2R_ON_TP2,TRACE,"Three equal units, filled only if price retraces to 7420.78. Unit 1 exits at TP1 7455.06 (38.2% retracement). Unit 2 exits at TP2 7522.90 (full retrace to the swing origin); on the Unit-2 fill the Unit-3 stop moves to entry + 0.2R = 7439.23. Unit 3 (runner) traces to the 100% extension 7700.50; when price prints above the 100% extension the runner stop moves instead to the 50% mark of the original 1:1 leg, halfway between entry 7420.78 and TP2 7522.90 = 7471.84 - the one structural override of the universal trail. Wide-stop flag SET: R = 92.23 pts = 1.38 x ATR14 (> 1.00). Thesis invalidation (separate from the stop): a daily close beyond the swing-low anchor 7345.30.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-14.csv,2026-05-14 23:45:00
2026-05-18_Trade_1,2026-05-18,SP500_Daily_18May2026.md,Trade 1 - Daily Directional,Trade 1,n/a,MARKET,"SUPPRESSED - no order is placed. Had the conviction gate cleared, this card would have entered at market at the 09:00 broker daily-open anchor, filled at the reference close 7416.00.",09:00,,,,,,,NONE,TRACE,"SUPPRESSED - conviction below threshold. No units are opened, so no break-even or runner management applies; the management fields carry inert defaults.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-17.csv,2026-05-15 23:45:00
2026-05-18_Trade_2,2026-05-18,SP500_Daily_18May2026.md,"Trade 2 - Pivot, TRANSITION breakout side (sell limit below daily P)",Trade 2,SHORT,LIMIT,"Sell limit 7422.36, resting from the 09:00 broker anchor; entry sits 6.36 pts above the 7416.00 reference close, the correct side for a sell limit. Fills on first touch; unfilled by the 23:00 broker cut-off, the order is cancelled.",09:00,7422.36,7476.06,7393.2,7381.8,7370.4,53.7,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at daily S1 7393.20, Unit 2 at daily S1.5 7381.80. On the Unit 2 fill the Unit 3 stop moves to 7411.62 (entry minus 0.2R), locking 0.2R. Unit 3 traces to daily S2 7370.40 and is otherwise left on that stop. Thesis invalidation, separate from the 7476.06 stop: a daily close back above the daily pivot 7425.60, which returns price to the upper half of the pivot structure and voids the downside-break thesis.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-17.csv,2026-05-15 23:45:00
2026-05-18_Trade_3C,2026-05-18,SP500_Daily_18May2026.md,"Trade 3C - Momentum-Breakout, 25-day range (conditional)",Trade 3C,n/a,CONDITIONAL,SUPPRESSED - no order is placed and no trigger is armed. The variant becomes eligible only after a daily close beyond a 25-day range boundary by at least 0.25 x ATR14; that condition is unmet at the reference close.,09:00,,,,,,,NONE,TRACE,"SUPPRESSED - no confirmed 25-day range break. No units are opened, so no break-even or runner management applies; the management fields carry inert defaults.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-17.csv,2026-05-15 23:45:00
2026-05-19_Trade_1,2026-05-19,SP500_Daily_Report_19May2026.md,Trade 1 - Daily Directional,Trade 1,n/a,MARKET,"SUPPRESSED - no order is placed. Had the card been eligible it would have been a market/just-fillable buy at the 18 May 2026 reference close of 7411.00, monitored from the 09:00 broker anchor.",09:00,,,,,,,NONE,TRACE,"SUPPRESSED - no position, therefore no tranching, no break-even trail and no runner rule apply.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-18.csv,2026-05-18 23:45:00
