report_id,instrument,report_date,strategy,direction,entry_mode,suggested_entry,stop_loss,tp1,tp2,tp3,risk_R_points,management,is_primary,scenario,unit,filled,fill_when,fill_datetime_uk,fill_price,sessions_to_fill,exit_price,exit_datetime_uk,exit_reason,R_card,R_realised,sessions_to_resolve,status
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,Y,PRIMARY,Unit 1,YES,SAME SESSION (open bar),2026-05-11 00:00,7387.4,0,7476.66,2026-05-14 12:00,TP1 touched,1.0,1.348,3,CLOSED
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,Y,PRIMARY,Unit 2,YES,SAME SESSION (open bar),2026-05-11 00:00,7387.4,0,7554.39,2026-05-25 14:15,TP2 touched (SL 7321.20 never threatened; lowest interim print 7339.1 on 19 May),2.0,2.523,10,CLOSED
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,Y,PRIMARY,Unit 3,YES,SAME SESSION (open bar),2026-05-11 00:00,7387.4,0,7416.2,2026-05-11 22:45,CARD-SPECIFIED runner time-stop at 11 May session close (3xATR cap 7626.93 not reached that session),0.222,0.435,0,CLOSED
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,N,ALT_runner_traced_no_timestop,Unit 3,YES,SAME SESSION (open bar),2026-05-11 00:00,7387.4,0,7414.47,2026-06-05 20:45,If runner time-stop ignored: BE+0.2R trail stop hit; TP3 7626.93 not reached until 2026-08-04,0.2,0.409,18,CLOSED
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,BUY LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,Y,PRIMARY,All units,NO,NO FILL - order expired,,,,,,Card scoped order to the Mon 11 May session only. Limit 7358.92 never touched: session low 7372.2 (RTH low 7384.4). Missed by 13.3 pts.,0.0,0.0,0,NO_FILL
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,BUY LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,N,ALT_GTC_runner_touch_R2,Unit 1,YES (counterfactual GTC),NEXT SESSION (t+1),2026-05-12 17:15,7358.92,1,7380.21,2026-05-12 20:15,TP1 (daily P) touched,0.532,0.532,1,CLOSED
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,BUY LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,N,ALT_GTC_runner_touch_R2,Unit 2,YES (counterfactual GTC),NEXT SESSION (t+1),2026-05-12 17:15,7358.92,1,7420.22,2026-05-13 06:45,TP2 (daily R1) touched,1.532,1.532,2,CLOSED
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,BUY LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,N,ALT_GTC_runner_touch_R2,Unit 3,YES (counterfactual GTC),NEXT SESSION (t+1),2026-05-12 17:15,7358.92,1,7441.51,2026-05-13 18:15,Runner target daily R2 touched (mechanical touch-exit),2.064,2.064,2,CLOSED
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,BUY LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,N,ALT_GTC_runner_trail_R3,Unit 1,YES (counterfactual GTC),NEXT SESSION (t+1),2026-05-12 17:15,7358.92,1,7380.21,2026-05-12 20:15,TP1 (daily P) touched,0.532,0.532,1,CLOSED
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,BUY LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,N,ALT_GTC_runner_trail_R3,Unit 2,YES (counterfactual GTC),NEXT SESSION (t+1),2026-05-12 17:15,7358.92,1,7420.22,2026-05-13 06:45,TP2 (daily R1) touched,1.532,1.532,2,CLOSED
