card_id,report_date,report_file,strategy,family,direction,entry_mode,entry_mode_text,anchor_broker,entry,stop,tp1,tp2,tp3,card_R_points,be_rule,runner_rule,management_text,suppressed,source
2026-05-11_Trade_1,2026-05-11,SP500_Report_11May2026__2_.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ 00:00 UK,02:00,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,False,baseline
2026-05-11_Trade_2,2026-05-11,SP500_Report_11May2026__2_.docx,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,False,baseline
2026-05-11_Trade_3A,2026-05-11,SP500_Report_11May2026__2_.docx,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7316.24,7258.56,7373.91,7401.5,7486.76,57.68,NONE,TRACE,3 units; structural runner SL pull to 7247.27 on close-through 100% ext,False,baseline
2026-05-12_Trade_1,2026-05-12,SP500_Report_12May2026.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ 07:00 UK,09:00,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,False,baseline
2026-05-12_Trade_2,2026-05-12,SP500_Report_12May2026.docx,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7378.0,7344.0,7412.0,7446.0,7460.9,34.0,BE_0.2R_ON_TP2,TRACE,"3 units; Unit3 SL->entry+0.2R (7384.8) on TP2 fill; runner exits on first daily close below daily P 7378, capped at weekly R2 7460.9",False,baseline
2026-05-12_Trade_3A,2026-05-12,SP500_Report_12May2026.docx,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7362.0,7310.0,7381.9,7429.0,7626.0,52.0,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7372.4) on TP2 fill; structural override to 7395.5 only on 100%-ext break,False,baseline
2026-05-13_Trade_1,2026-05-13,SP500_Daily_Report_13May2026.docx,Trade 1 - Daily Directional,Trade 1,,MARKET,,09:00,,,,,,,NONE,TRACE,,True,baseline
2026-05-13_Trade_2,2026-05-13,SP500_Daily_Report_13May2026.docx,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,STOP,BUY STOP,09:00,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7389.46) on TP2 fill; runner trails toward prior ATH 7428.97 / weekly R1 ~7468,False,baseline
2026-05-13_Trade_3C,2026-05-13,SP500_Daily_Report_13May2026.docx,Trade 3C - Momentum-Breakout (buy stop),Trade 3C,LONG,STOP,BUY STOP,09:00,7432.0,7335.0,7529.0,7626.0,7606.0,97.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7451.40) on TP2 fill; runner CARD-SPECIFIED time-stop at session close + 3xATR cap,False,baseline
2026-05-14_Trade_1,2026-05-14,SP500_Report_14May2026.docx,Trade 1 - Daily Directional,Trade 1,,MARKET,,09:00,,,,,,,NONE,TRACE,,True,baseline
2026-05-14_Trade_2,2026-05-14,SP500_Report_14May2026.docx,Trade 2 - Pivot (buy limit weekly P),Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7402.0,7367.0,7437.0,7472.0,7540.0,35.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7409) on TP2 fill; runner time-stop at session close,False,baseline
2026-05-14_Trade_3A,2026-05-14,SP500_Report_14May2026.docx,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7422.0,7378.0,7449.0,7495.0,7540.0,44.0,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7431) on TP2 fill; structural override to 7400 only on break above 7520,False,baseline
2026-05-15_Trade_1,2026-05-15,SP500_Daily_Report_15_May_2026.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ 13:30 UK,15:30,7501.59,7453.59,7549.59,7597.59,7681.59,48.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7511.19) on TP2 fill; runner time-stop at NY close 15 May,False,baseline
2026-05-15_Trade_2,2026-05-15,SP500_Daily_Report_15_May_2026.docx,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,STOP,BUY STOP,09:00,7485.68,7461.74,7525.66,7549.73,,23.94,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7490.47) on TP2 fill; runner time-stop at NY close,False,baseline
2026-05-15_Trade_3C,2026-05-15,SP500_Daily_Report_15_May_2026.docx,Trade 3C - Momentum-Breakout (buy stop),Trade 3C,LONG,STOP,BUY STOP (on confirmed daily close > 7505.30),09:00,7510.0,7425.0,7595.0,7680.0,,85.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7527) on TP2 fill; runner time-stop at 22 May NY close,False,baseline
2026-05-18_Trade_1,2026-05-18,SP500_Daily_18May2026.docx,Trade 1 - Daily Directional,Trade 1,SHORT,MARKET,MARKET @ overridden daily-open anchor,02:00,7457.31,7466.1,7448.52,7439.73,7322.31,8.79,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry-0.2R (7459.07) on TP2 fill; runner CARD-SPECIFIED time-stop at session close / 3xATR cap,False,baseline
2026-05-18_Trade_2,2026-05-18,SP500_Daily_18May2026.docx,Trade 2 - Pivot fade (sell limit daily R1),Trade 2,SHORT,LIMIT,SELL LIMIT,09:00,7443.07,7482.13,7404.0,7420.28,7385.72,39.07,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry-0.2R (7435.25) on TP2 fill; runner exits on P touch / S1 close / session close,False,baseline
2026-05-18_Trade_3C,2026-05-18,SP500_Daily_18May2026.docx,"Trade 3C - Transition Breakout (sell stop, conditional)",Trade 3C,SHORT,STOP,"SELL STOP on confirmed daily close < 7386.25, executed next open",09:00,7386.25,7459.35,7326.23,7229.13,7186.39,73.1,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry-0.2R (7371.63) on TP2 fill,False,baseline
2026-05-19_Trade_1,2026-05-19,SP500_Daily_Report_19May2026.docx,Trade 1 - Daily Directional (mean-reversion),Trade 1,LONG,MARKET,"PENDING MARKET-BUY set 00:00 UK, activates NY cash open 14:30 UK",02:00,7403.05,7335.0,7434.0,7490.0,7573.0,68.05,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 trails to entry+0.2R (7416.65) on TP2 fill,False,baseline
2026-05-19_Trade_2,2026-05-19,SP500_Daily_Report_19May2026.docx,Trade 2 - Pivot (buy limit daily S1),Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7371.85,7348.0,7403.0,7434.0,7490.0,23.85,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 trails to entry+0.2R on TP2 fill,False,baseline
2026-05-19_Trade_3A,2026-05-19,SP500_Daily_Report_19May2026.docx,Trade 3A - Momentum-Pullback (layered fib limits),Trade 3A,LONG,LIMIT,BUY LIMIT (layered 7444.43 / 7427.32),09:00,7435.5,7360.0,7490.0,7517.0,7573.0,75.5,NONE,TRACE,3 units; on Unit 2 fill Unit 3 stop pulls to entry (supersedes +0.2R),False,baseline
2026-05-20_Trade_1,2026-05-20,SP500_Daily_Report_20May2026.docx,Trade 1 - Daily Directional,Trade 1,,MARKET,,09:00,,,,,,,NONE,TRACE,,True,baseline
2026-05-20_Trade_2,2026-05-20,SP500_Daily_Report_20May2026.docx,Trade 2 - Pivot (weekly TREND breakout),Trade 2,LONG,STOP,BUY STOP from 14:30 UK cash open,16:30,7442.17,7372.92,7488.61,7528.67,7568.73,69.25,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7456.02) on TP2 fill; runner CARD-SPECIFIED exit at session close + 3xATR cap,False,baseline
2026-05-20_Trade_3A,2026-05-20,SP500_Daily_Report_20May2026.docx,Trade 3A - Momentum-Pullback (demand-zone retest),Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7360.0,7325.0,7395.0,7433.31,7453.09,35.0,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7367) on TP2 fill; override to ATH retest on 100% ext,False,baseline
2026-05-21_Trade_1,2026-05-21,SP500_Report_21May2026.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ overridden daily-open anchor (proxy = 20 May RTH close),02:00,7432.97,7326.24,7539.7,7646.43,7612.49,106.73,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7454.32) on TP2 fill; runner CARD-SPECIFIED time-stop at session close / 3xATR cap,False,baseline
2026-05-21_Trade_2,2026-05-21,SP500_Report_21May2026.docx,Trade 2 - Pivot (TRANSITION breakout side),Trade 2,LONG,STOP,BUY STOP,09:00,7442.42,7375.01,7486.61,7525.67,7564.73,67.41,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7455.90) on TP2 fill,False,baseline
2026-05-21_Trade_3C,2026-05-21,SP500_Report_21May2026.docx,Trade 3C - Range Breakout (conditional),Trade 3C,LONG,CONDITIONAL,"CONDITIONAL - daily close above 7515.81, enter at that close",09:00,7515.81,7225.11,7960.42,8190.21,,290.7,NONE,TRACE,3 units; on Unit 2 fill Unit 3 stop moves to the broken boundary 7500.85,False,baseline
2026-05-22_Trade_1,2026-05-22,SP500_Report_22May2026.docx,Trade 1 - Daily Directional,Trade 1,,MARKET,,09:00,,,,,,,NONE,TRACE,,True,baseline
2026-05-22_Trade_2,2026-05-22,SP500_Report_22May2026.docx,Trade 2 - Pivot (TRANSITION breakout side),Trade 2,LONG,STOP,BUY STOP,09:00,7415.0,7355.0,7437.0,7475.0,7501.0,60.0,BE_0.2R_ON_TP2,TRACE,"3 units; Unit3 SL->entry+0.2R (7427) on TP2 fill; runner toward ~7501, trails prior-day low",False,baseline
2026-05-22_Trade_3C,2026-05-22,SP500_Report_22May2026.docx,Trade 3C - Momentum-Breakout (conditional),Trade 3C,LONG,CONDITIONAL,"CONDITIONAL - daily close above ~7539, enter at that close",09:00,7539.0,7193.0,8057.0,8327.0,,346.0,NONE,TRACE,3 units; on Unit 2 fill Unit 3 stop moves to the broken boundary ~7517,False,baseline
2026-05-25_Trade_1,2026-05-25,SP500_Daily_Report_25May2026.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ 07:00 UK on 26 May (post-holiday open),09:00,7473.47,7403.3,7543.64,7613.81,7689.0,70.17,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7487.51) on TP2 fill; runner CARD-SPECIFIED time-stop at session close / 3xATR cap,False,baseline
2026-05-25_Trade_2,2026-05-25,SP500_Daily_Report_25May2026.docx,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,STOP,BUY STOP,09:00,7447.53,7426.43,7468.98,7480.61,7492.24,21.1,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7451.75) on TP2 fill,False,baseline
2026-05-25_Trade_3A,2026-05-25,SP500_Daily_Report_25May2026.docx,Trade 3A - Momentum-Pullback (57.5% fib),Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7400.82,7320.9,7428.94,7484.6,7630.3,79.9,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7416.80) on TP2; structural override to 7442.71 on 100%-ext print,False,baseline
2026-05-26_Trade_1,2026-05-26,SP500_Report_26May2026.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ 00:00 UK,02:00,7473.47,7397.96,7548.98,7624.5,7757.0,76.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7488.57) on TP2 fill; runner CARD-SPECIFIED time-stop at session close / 3xATR cap,False,baseline
2026-05-26_Trade_2,2026-05-26,SP500_Report_26May2026.docx,"Trade 2 - Pivot (TRANSITION breakout, buy stop)",Trade 2,LONG,STOP,BUY STOP,09:00,7448.3,7426.33,7470.15,7482.36,7494.57,22.0,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R on TP2 fill,False,baseline
2026-05-26_Trade_3C,2026-05-26,SP500_Report_26May2026.docx,Trade 3C - Range Breakout (conditional),Trade 3C,LONG,CONDITIONAL,CONDITIONAL - daily close above ~7574.60,09:00,7574.6,7160.29,8202.09,8527.65,,414.31,NONE,TRACE,3 units; on Unit 2 fill Unit 3 stop moves to the broken boundary 7550.96,False,baseline
2026-05-27_Trade_1,2026-05-27,SP500_Report_27-May-2026.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ next regular cash session open (14:30 UK),16:30,7519.12,7330.35,7707.89,7896.66,7694.93,188.8,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7556.88) on TP2 fill; runner CARD-SPECIFIED time-stop at session close / 3xATR cap,False,baseline
2026-05-27_Trade_2,2026-05-27,SP500_Report_27-May-2026.docx,Trade 2 - Pivot (TREND_UP),Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7451.26,7389.82,7538.19,7570.56,7602.92,61.4,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7463.55) on TP2 fill,False,baseline
2026-05-27_Trade_3A,2026-05-27,SP500_Report_27-May-2026.docx,Trade 3A - Momentum-Pullback (57.5% fib),Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7421.5,7330.35,7456.24,7525.0,7705.0,91.2,NONE,TRACE,3 units; structural runner override to 7473.25 on 100%-ext break,False,baseline
2026-05-28_Trade_1,2026-05-28,SP500_Daily_Report_28May2026.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ 07:00 UK European open,09:00,7519.0,7471.2,7548.41,7575.81,7616.3,47.8,BE_ON_TP1,TRACE,3 units; BE on TP1 (NOT TP2); Unit3 trails 0.2R from each new HOD after TP2,False,baseline
2026-05-28_Trade_2,2026-05-28,SP500_Daily_Report_28May2026.docx,Trade 2 - Pivot (daily P / weekly R1 retest),Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7510.0,7479.0,7545.56,7577.69,7606.21,31.0,BE_ON_TP1,TRACE,3 units; BE on TP1; runner trails 0.2R on TP2,False,baseline
2026-05-28_Trade_3A,2026-05-28,SP500_Daily_Report_28May2026.docx,Trade 3A - Momentum-Pullback,Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7495.0,7471.0,7539.09,7567.0,7597.0,24.0,NONE,TRACE,3 units; Unit3 stop to entry+1R per the 3A structural runner rule,False,baseline
2026-05-29_Trade_1,2026-05-29,SP500_Report_29May2026.docx,Trade 1 - Daily Directional,Trade 1,LONG,LIMIT,BUY LIMIT,09:00,7535.0,7495.0,7575.0,7615.0,7655.0,40.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R (7543) on TP2 fill; runner CARD-SPECIFIED time-stop at session close / 3xATR cap,False,baseline
2026-05-29_Trade_2,2026-05-29,SP500_Report_29May2026.docx,Trade 2 - Pivot (buy limit daily P),Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7551.0,7517.0,7585.0,7619.0,7670.0,34.0,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7558) on TP2 fill; runner exit at weekly P re-test,False,baseline
2026-05-29_Trade_3A,2026-05-29,SP500_Report_29May2026.docx,Trade 3A - Momentum-Pullback (breakout stop),Trade 3A,LONG,STOP,BUY STOP,09:00,7572.0,7528.0,7616.0,7660.0,7750.0,44.0,NONE,TRACE,3 units; 3A structural runner override active,False,baseline
2026-06-01_Trade_1,2026-06-01,SP500_Report_2026-06-01.docx,Trade 1 - Daily Directional (breakout stop),Trade 1,LONG,STOP,BUY STOP,09:00,7599.5,7562.6,7636.5,7673.5,7715.5,36.9,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R on TP2 fill; runner CARD-SPECIFIED time-stop at cash close / 3xATR cap,False,baseline
2026-06-01_Trade_2,2026-06-01,SP500_Report_2026-06-01.docx,Trade 2 - Pivot (buy limit daily P),Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7581.0,7545.2,7617.0,7653.0,7670.0,35.8,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R on TP2 fill; runner exit on pivot P re-cross or session close,False,baseline
2026-06-01_Trade_3A,2026-06-01,SP500_Report_2026-06-01.docx,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7538.0,7520.0,7580.0,7599.0,7690.0,18.0,NONE,TRACE,3 units; 3A structural runner override on 100%-ext break,False,baseline
2026-06-02_Trade_1,2026-06-02,SP500_Report_02Jun2026.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ 00:00 UK,02:00,7599.96,7551.51,7648.41,7696.87,7737.87,48.45,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R on TP2 fill; runner CARD-SPECIFIED exit at session close + 3xATR cap,False,baseline
2026-06-02_Trade_2,2026-06-02,SP500_Report_02Jun2026.docx,Trade 2 - Pivot (buy limit daily P),Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7580.81,7550.76,7610.86,7640.92,7598.63,30.05,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R on TP2 fill; runner exit at daily R1 7598.63,False,baseline
2026-06-02_Trade_3A,2026-06-02,SP500_Report_02Jun2026.docx,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7552.5,7525.28,7603.44,7639.71,7700.0,27.22,NONE,TRACE,3 units; 3A structural runner override on 100%-ext break,False,baseline
2026-06-03_Trade_1,2026-06-03,SP500_Daily_Report_2026-06-03.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ 00:00 UK,02:00,7585.5,7499.14,7671.86,7758.22,7784.79,86.36,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R on TP2 fill; runner CARD-SPECIFIED session-close time-stop + 3xATR cap,False,baseline
2026-06-03_Trade_2,2026-06-03,SP500_Daily_Report_2026-06-03.docx,Trade 2 - Pivot (buy limit daily P),Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7601.28,7557.81,7619.58,7639.19,7657.49,43.47,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R on TP2 fill,False,baseline
2026-06-03_Trade_3A,2026-06-03,SP500_Daily_Report_2026-06-03.docx,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7573.68,7484.0,7620.9,7744.51,7850.0,89.68,NONE,TRACE,3 units; 3A structural runner override on 100%-ext break,False,baseline
2026-06-04_Trade_1,2026-06-04,SP500_Report_04Jun2026.docx,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,MARKET @ 00:00 UK (overridden anchor),02:00,7609.78,7573.71,7645.85,7681.92,7783.78,36.07,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry+0.2R on TP2 fill; runner session-close time-stop / 3xATR cap,False,baseline
2026-06-04_Trade_2,2026-06-04,SP500_Report_04Jun2026.docx,Trade 2 - Pivot (TREND_UP breakout),Trade 2,LONG,STOP,BUY STOP,09:00,7606.72,7591.48,7626.12,7634.3,7642.47,15.24,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R on TP2 fill; runner toward R2,False,baseline
2026-06-04_Trade_3A,2026-06-04,SP500_Report_04Jun2026.docx,Trade 3A - Momentum-Pullback (57.5% fib),Trade 3A,LONG,LIMIT,BUY LIMIT,09:00,7554.26,7490.5,7576.63,7620.9,7736.8,63.76,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7567.01) on TP2 fill; 3A structural runner override on 100%-ext break,False,baseline
2026-06-05_Trade_1,2026-06-05,SP500_Report_05Jun2026.docx,Trade 1 - Daily Directional,Trade 1,,MARKET,,09:00,,,,,,,NONE,TRACE,,True,baseline
2026-06-05_Trade_2,2026-06-05,SP500_Report_05Jun2026.docx,Trade 2 - Pivot (buy limit daily P),Trade 2,LONG,LIMIT,BUY LIMIT,09:00,7570.0,7512.0,7589.0,7624.0,7650.0,58.0,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R on TP2 fill; runner trails to daily P,False,baseline
2026-06-05_Trade_3A,2026-06-05,SP500_Report_05Jun2026.docx,Trade 3A - Momentum-Pullback (breakout stop),Trade 3A,LONG,STOP,BUY STOP,09:00,7593.0,7548.0,7621.0,7643.0,7697.0,45.0,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry+0.2R (7602) on TP2 fill,False,baseline
2026-06-08_Trade_1,2026-06-08,SP500_Report_08-Jun-2026.docx,Trade 1 - Daily Directional,Trade 1,SHORT,MARKET,MARKET @ cash open 14:30 UK,16:30,7384.0,7475.0,7293.0,7202.0,7105.0,91.0,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,3 units; Unit3 SL->entry-0.2R on TP2 fill; runner CARD-SPECIFIED time-stop at session close + 3xATR cap,False,baseline
2026-06-08_Trade_3A,2026-06-08,SP500_Report_08-Jun-2026.docx,Trade 3A - Momentum-Pullback (sell limit weekly S2),Trade 3A,SHORT,LIMIT,SELL LIMIT,09:00,7460.0,7565.0,7384.0,7343.0,7105.0,105.0,BE_0.2R_ON_TP2,TRACE,3 units; Unit3 SL->entry-0.2R (7439) on TP2 fill; structural runner override on breakdown,False,baseline
